,50,100,200,300,400,500,600,700,800,900,1000
mnist_cntr_m,0.817,0.867,0.905,0.921,0.928,0.928,0.94,0.943,0.946,0.948,0.953
mnist_cntr_s,0.011,0.013,0.007,0.004,0.006,0.006,0.005,0.006,0.004,0.006,0.007
mnist_ind_m,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817
mnist_ind_s,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
mnist_dc_mlp_m,0.785,0.843,0.889,0.912,0.92,0.928,0.941,0.942,0.944,0.949,0.949
mnist_dc_mlp_s,0.017,0.015,0.009,0.006,0.004,0.006,0.003,0.005,0.007,0.004,0.002
mnist_dc_svm_m,0.636,0.797,0.837,0.856,0.864,0.87,0.875,0.884,0.882,0.886,0.888
mnist_dc_svm_s,0.019,0.011,0.006,0.008,0.005,0.006,0.004,0.005,0.003,0.004,0.004
mnist_dc_knn_m,0.687,0.767,0.846,0.868,0.884,0.89,0.901,0.907,0.911,0.916,0.919
mnist_dc_knn_s,0.033,0.013,0.009,0.006,0.007,0.007,0.006,0.004,0.005,0.006,0.006
mnist_dc_time_m,1.601,1.886,3.376,4.015,5.45,7.456,9.015,10.6,16.821,17.102,18.403
mnist_dc_time_s,0.363,0.155,1.245,0.51,1.022,0.498,0.54,1.415,2.24,1.62,2.966
mnist_fed_m,0.711,0.837,0.891,0.915,0.929,0.933,0.938,0.946,0.946,0.95,0.954
mnist_fed_s,0.031,0.022,0.01,0.008,0.007,0.004,0.006,0.008,0.005,0.003,0.007
mnist_fed_time_m,142.759,156.096,176.945,192.979,201.416,224.818,246.318,262.237,1040.785,301.994,309.606
mnist_fed_time_s,67.514,77.978,84.161,87.496,82.805,95.047,105.271,102.542,2110.889,102.012,116.054
fmnist_cntr_m,0.745,0.788,0.815,0.825,0.838,0.833,0.843,0.846,0.853,0.848,0.858
fmnist_cntr_s,0.01,0.009,0.014,0.013,0.007,0.01,0.007,0.006,0.005,0.009,0.01
fmnist_ind_m,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745
fmnist_ind_s,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
fmnist_dc_mlp_m,0.712,0.769,0.793,0.813,0.826,0.834,0.835,0.841,0.848,0.853,0.854
fmnist_dc_mlp_s,0.02,0.01,0.011,0.012,0.007,0.007,0.007,0.013,0.007,0.005,0.012
fmnist_dc_svm_m,0.612,0.702,0.747,0.763,0.774,0.782,0.786,0.796,0.796,0.804,0.805
fmnist_dc_svm_s,0.024,0.015,0.011,0.008,0.005,0.006,0.009,0.007,0.005,0.004,0.007
fmnist_dc_knn_m,0.656,0.718,0.764,0.778,0.792,0.803,0.806,0.811,0.813,0.815,0.823
fmnist_dc_knn_s,0.022,0.018,0.011,0.008,0.012,0.007,0.01,0.012,0.007,0.006,0.008
fmnist_dc_time_m,1.984,2.169,3.518,4.618,6.106,8.259,10.916,12.429,17.129,20.408,24.329
fmnist_dc_time_s,0.855,0.716,0.967,1.268,1.177,1.691,2.669,1.656,2.667,3.536,6.522
fmnist_fed_m,0.663,0.74,0.773,0.791,0.791,0.782,0.798,0.809,0.794,0.81,0.795
fmnist_fed_s,0.027,0.033,0.02,0.015,0.012,0.014,0.023,0.01,0.023,0.012,0.016
fmnist_fed_3e_m,0.739,0.756,0.782,0.79,0.809,0.797,0.801,0.811,0.816,0.818,0.824
fmnist_fed_3e_s,0.019,0.018,0.022,0.018,0.016,0.016,0.016,0.015,0.018,0.011,0.01
fmnist_fed_time_m,166.914,177.944,190.619,229.89,254.44,268.075,293.204,314.968,367.287,324.408,321.896
fmnist_fed_time_s,72.893,85.617,80.933,95.775,98.994,82.707,73.686,76.631,149.97,82.835,84.783
